id,question,answer,url
1,Как изменить пароль в личном кабинете?,"Изменить имя и пароль вы можете в своем личном кабинете (раздел «Профиль»).Если вы забыли пароль, воспользуйтесь службой восстановления. В отправленном вам письме будет ссылка на смену пароля.Логин изменить невозможно. Логин есть у тех пользователей, кто зарегистрировался на сайте до мая 2015 года. Участники, которые зарегистрировались позже, при авторизации вместо логина указывают свою электронную почту.",False
2,"Что делать, если я забыл пароль от своего аккаунта?","Изменить имя и пароль вы можете в своем личном кабинете (раздел «Профиль»).Если вы забыли пароль, воспользуйтесь службой восстановления. В отправленном вам письме будет ссылка на смену пароля.Логин изменить невозможно. Логин есть у тех пользователей, кто зарегистрировался на сайте до мая 2015 года. Участники, которые зарегистрировались позже, при авторизации вместо логина указывают свою электронную почту.",False
3,Как восстановить утерянный пароль на сайте?,"Изменить имя и пароль вы можете в своем личном кабинете (раздел «Профиль»).Если вы забыли пароль, воспользуйтесь службой восстановления. В отправленном вам письме будет ссылка на смену пароля.Логин изменить невозможно. Логин есть у тех пользователей, кто зарегистрировался на сайте до мая 2015 года. Участники, которые зарегистрировались позже, при авторизации вместо логина указывают свою электронную почту.",False
4,Есть ли возможность сменить пароль через электронную почту?,"Изменить имя и пароль вы можете в своем личном кабинете (раздел «Профиль»).Если вы забыли пароль, воспользуйтесь службой восстановления. В отправленном вам письме будет ссылка на смену пароля.Логин изменить невозможно. Логин есть у тех пользователей, кто зарегистрировался на сайте до мая 2015 года. Участники, которые зарегистрировались позже, при авторизации вместо логина указывают свою электронную почту.",False
5,Какие требования к безопасности пароля на сайте?,"Изменить имя и пароль вы можете в своем личном кабинете (раздел «Профиль»).Если вы забыли пароль, воспользуйтесь службой восстановления. В отправленном вам письме будет ссылка на смену пароля.Логин изменить невозможно. Логин есть у тех пользователей, кто зарегистрировался на сайте до мая 2015 года. Участники, которые зарегистрировались позже, при авторизации вместо логина указывают свою электронную почту.",False
6,Где найти номер кошелька в профиле?,"Раздел «Кошелек» находится в вашем личном кабинете. Номер Кошелька можно найти в левом верхнем углу раздела «Кошелек», под суммой вашего баланса.",False
7,Как узнать номер кошелька на сайте?,"Раздел «Кошелек» находится в вашем личном кабинете. Номер Кошелька можно найти в левом верхнем углу раздела «Кошелек», под суммой вашего баланса.",False
8,Номер кошелька в личном кабинете где смотреть?,"Раздел «Кошелек» находится в вашем личном кабинете. Номер Кошелька можно найти в левом верхнем углу раздела «Кошелек», под суммой вашего баланса.",False
9,Как отыскать номер кошелька в профиле?,"Раздел «Кошелек» находится в вашем личном кабинете. Номер Кошелька можно найти в левом верхнем углу раздела «Кошелек», под суммой вашего баланса.",False
10,Номер Кошелька «Столото» – где посмотреть в личном кабинете?,"Раздел «Кошелек» находится в вашем личном кабинете. Номер Кошелька можно найти в левом верхнем углу раздела «Кошелек», под суммой вашего баланса.",False
